exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,ind,2020,21,Arts and Antiques,27354890,trade_b_231
usa,ind,2019,1,Animal Products,29655042,trade_b_232
usa,ind,2019,2,Vegetable Products,977438410,trade_b_233
usa,ind,2019,3,Animal and Vegetable Bi-Products,18118229,trade_b_234
usa,ind,2019,4,Foodstuffs,654757163,trade_b_235
usa,ind,2019,5,Mineral Products,8941306228,trade_b_236
usa,ind,2019,6,Chemical Products,4032244520,trade_b_237
usa,ind,2019,7,Plastics and Rubbers,1123719172,trade_b_238
usa,ind,2019,8,Animal Hides,13817329,trade_b_239
usa,ind,2019,9,Wood Products,55325021,trade_b_240
usa,ind,2019,10,Paper Goods,941932420,trade_b_241
usa,ind,2019,11,Textiles,774710008,trade_b_242
usa,ind,2019,12,Footwear and Headwear,12407181,trade_b_243
usa,ind,2019,13,Stone And Glass,164786413,trade_b_244
usa,ind,2019,14,Precious Metals,6392998289,trade_b_245
usa,ind,2019,15,Metals,1606748474,trade_b_246
usa,ind,2019,16,Machines,5700195563,trade_b_247
usa,ind,2019,17,Transportation,645167606,trade_b_248
usa,ind,2019,18,Instruments,1551926084,trade_b_249
usa,ind,2019,19,Weapons,152218787,trade_b_250
usa,ind,2019,20,Miscellaneous,85384436,trade_b_251
usa,ind,2019,21,Arts and Antiques,39504992,trade_b_252
usa,ind,2018,1,Animal Products,41307124,trade_b_253
usa,ind,2018,2,Vegetable Products,904677944,trade_b_254
usa,ind,2018,3,Animal and Vegetable Bi-Products,17073281,trade_b_255
usa,ind,2018,4,Foodstuffs,442913650,trade_b_256
usa,ind,2018,5,Mineral Products,6842625911,trade_b_257
usa,ind,2018,6,Chemical Products,3682406765,trade_b_258
usa,ind,2018,7,Plastics and Rubbers,1077690728,trade_b_259
usa,ind,2018,8,Animal Hides,22181294,trade_b_260
usa,ind,2018,9,Wood Products,23493962,trade_b_261
usa,ind,2018,10,Paper Goods,965265895,trade_b_262
usa,ind,2018,11,Textiles,512905340,trade_b_263
usa,ind,2018,12,Footwear and Headwear,6579057,trade_b_264
usa,ind,2018,13,Stone And Glass,228623807,trade_b_265
usa,ind,2018,14,Precious Metals,7680073351,trade_b_266
usa,ind,2018,15,Metals,1466021736,trade_b_267
usa,ind,2018,16,Machines,5022322218,trade_b_268
usa,ind,2018,17,Transportation,1088102180,trade_b_269
usa,ind,2018,18,Instruments,1553590332,trade_b_270
usa,ind,2018,19,Weapons,7806572,trade_b_271
usa,ind,2018,20,Miscellaneous,95101796,trade_b_272
usa,ind,2018,21,Arts and Antiques,18751233,trade_b_273
usa,ind,2017,1,Animal Products,35520002,trade_b_274
usa,ind,2017,2,Vegetable Products,938946317,trade_b_275
usa,ind,2017,3,Animal and Vegetable Bi-Products,11399980,trade_b_276
usa,ind,2017,4,Foodstuffs,438762803,trade_b_277
