exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,jpn,2013,2,Vegetable Products,6569040510,t_a_107
usa,jpn,2013,3,Animal and Vegetable Bi-Products,74088217,t_a_108
usa,jpn,2013,4,Foodstuffs,2775098162,t_a_109
usa,jpn,2013,5,Mineral Products,3648669448,t_a_110
usa,jpn,2013,6,Chemical Products,10877413356,t_a_111
usa,jpn,2013,7,Plastics and Rubbers,2135751084,t_a_112
usa,jpn,2013,8,Animal Hides,170447274,t_a_113
usa,jpn,2013,9,Wood Products,896004201,t_a_114
usa,jpn,2013,10,Paper Goods,1336897374,t_a_115
usa,jpn,2013,11,Textiles,614531488,t_a_116
usa,jpn,2013,12,Footwear and Headwear,92636264,t_a_117
usa,jpn,2013,13,Stone And Glass,563735642,t_a_118
usa,jpn,2013,14,Precious Metals,1452985988,t_a_119
usa,jpn,2013,15,Metals,1633602762,t_a_120
usa,jpn,2013,16,Machines,11227872893,t_a_121
usa,jpn,2013,17,Transportation,5706468199,t_a_122
usa,jpn,2013,18,Instruments,8635662624,t_a_123
usa,jpn,2013,19,Weapons,247420426,t_a_124
usa,jpn,2013,20,Miscellaneous,587860219,t_a_125
usa,jpn,2013,21,Arts and Antiques,103569406,t_a_126
usa,jpn,2014,1,Animal Products,4758886665,t_a_127
usa,jpn,2014,2,Vegetable Products,7307085485,t_a_128
usa,jpn,2014,3,Animal and Vegetable Bi-Products,66148562,t_a_129
usa,jpn,2014,4,Foodstuffs,2591715240,t_a_130
usa,jpn,2014,5,Mineral Products,3659882721,t_a_131
usa,jpn,2014,6,Chemical Products,10220174286,t_a_132
usa,jpn,2014,7,Plastics and Rubbers,2150838721,t_a_133
usa,jpn,2014,8,Animal Hides,152852996,t_a_134
usa,jpn,2014,9,Wood Products,861017960,t_a_135
usa,jpn,2014,10,Paper Goods,1359880671,t_a_136
usa,jpn,2014,11,Textiles,573142816,t_a_137
usa,jpn,2014,12,Footwear and Headwear,87402385,t_a_138
usa,jpn,2014,13,Stone And Glass,559519059,t_a_139
usa,jpn,2014,14,Precious Metals,1485755054,t_a_140
usa,jpn,2014,15,Metals,1749020532,t_a_141
usa,jpn,2014,16,Machines,12474655841,t_a_142
usa,jpn,2014,17,Transportation,5314033529,t_a_143
usa,jpn,2014,18,Instruments,8300435877,t_a_144
usa,jpn,2014,19,Weapons,263050975,t_a_145
usa,jpn,2014,20,Miscellaneous,533409660,t_a_146
usa,jpn,2014,21,Arts and Antiques,118239905,t_a_147
usa,jpn,2015,1,Animal Products,4069161548,t_a_148
usa,jpn,2015,2,Vegetable Products,6388072180,t_a_149
usa,jpn,2015,3,Animal and Vegetable Bi-Products,58430043,t_a_150
usa,jpn,2015,4,Foodstuffs,2351171911,t_a_151
usa,jpn,2015,5,Mineral Products,2674084621,t_a_152
usa,jpn,2015,6,Chemical Products,9918672090,t_a_153
usa,jpn,2015,7,Plastics and Rubbers,2068041004,t_a_154
usa,jpn,2015,8,Animal Hides,107638291,t_a_155
usa,jpn,2015,9,Wood Products,759558304,t_a_156
usa,jpn,2015,10,Paper Goods,1253370652,t_a_157
usa,jpn,2015,11,Textiles,496111726,t_a_158
usa,jpn,2015,12,Footwear and Headwear,81026970,t_a_159
usa,jpn,2015,13,Stone And Glass,575450051,t_a_160
usa,jpn,2015,14,Precious Metals,1304472974,t_a_161
usa,jpn,2015,15,Metals,1825104038,t_a_162
usa,jpn,2015,16,Machines,11424052266,t_a_163
usa,jpn,2015,17,Transportation,5278112059,t_a_164
usa,jpn,2015,18,Instruments,8290589310,t_a_165
usa,jpn,2015,19,Weapons,180544468,t_a_166
usa,jpn,2015,20,Miscellaneous,485421135,t_a_167
usa,jpn,2015,21,Arts and Antiques,193837504,t_a_168
usa,jpn,2016,1,Animal Products,4068236470,t_a_169
usa,jpn,2016,2,Vegetable Products,5903736045,t_a_170
usa,jpn,2016,3,Animal and Vegetable Bi-Products,56452266,t_a_171
usa,jpn,2016,4,Foodstuffs,2347065265,t_a_172
usa,jpn,2016,5,Mineral Products,2936617786,t_a_173
usa,jpn,2016,6,Chemical Products,10549203733,t_a_174
usa,jpn,2016,7,Plastics and Rubbers,1951115650,t_a_175
usa,jpn,2016,8,Animal Hides,143764165,t_a_176
usa,jpn,2016,9,Wood Products,731527171,t_a_177
usa,jpn,2016,10,Paper Goods,1232609007,t_a_178
usa,jpn,2016,11,Textiles,464416134,t_a_179
usa,jpn,2016,12,Footwear and Headwear,69631611,t_a_180
usa,jpn,2016,13,Stone And Glass,592213523,t_a_181
usa,jpn,2016,14,Precious Metals,1293247506,t_a_182
usa,jpn,2016,15,Metals,1716411467,t_a_183
usa,jpn,2016,16,Machines,12193770855,t_a_184
usa,jpn,2016,17,Transportation,6025318938,t_a_185
usa,jpn,2016,18,Instruments,8075454127,t_a_186
usa,jpn,2016,19,Weapons,276784209,t_a_187
usa,jpn,2016,20,Miscellaneous,495561741,t_a_188
usa,jpn,2016,21,Arts and Antiques,259789917,t_a_189
usa,jpn,2017,1,Animal Products,4584991228,t_a_190
usa,jpn,2017,2,Vegetable Products,6119813532,t_a_191
usa,jpn,2017,3,Animal and Vegetable Bi-Products,51988071,t_a_192
usa,jpn,2017,4,Foodstuffs,2207036075,t_a_193
usa,jpn,2017,5,Mineral Products,6368380723,t_a_194
usa,jpn,2017,6,Chemical Products,10704860357,t_a_195
usa,jpn,2017,7,Plastics and Rubbers,2108977674,t_a_196
usa,jpn,2017,8,Animal Hides,119910388,t_a_197
usa,jpn,2017,9,Wood Products,687374496,t_a_198
usa,jpn,2017,10,Paper Goods,1161260690,t_a_199
usa,jpn,2017,11,Textiles,464991589,t_a_200
usa,jpn,2017,12,Footwear and Headwear,63633384,t_a_201
usa,jpn,2017,13,Stone And Glass,643217036,t_a_202
usa,jpn,2017,14,Precious Metals,1297044493,t_a_203
usa,jpn,2017,15,Metals,1574774296,t_a_204
usa,jpn,2017,16,Machines,12450211989,t_a_205
usa,jpn,2017,17,Transportation,4417150066,t_a_206
usa,jpn,2017,18,Instruments,8941697538,t_a_207
usa,jpn,2017,19,Weapons,188119630,t_a_208
usa,jpn,2017,20,Miscellaneous,563522521,t_a_209
usa,jpn,2017,21,Arts and Antiques,378545531,t_a_210
usa,jpn,2018,1,Animal Products,4784852730,t_a_211
usa,jpn,2018,2,Vegetable Products,6965660094,t_a_212
usa,jpn,2018,3,Animal and Vegetable Bi-Products,49960922,t_a_213
usa,jpn,2018,4,Foodstuffs,2266621913,t_a_214
usa,jpn,2018,5,Mineral Products,9893051760,t_a_215
usa,jpn,2018,6,Chemical Products,11490189080,t_a_216
usa,jpn,2018,7,Plastics and Rubbers,2212966702,t_a_217
usa,jpn,2018,8,Animal Hides,101035272,t_a_218
usa,jpn,2018,9,Wood Products,548454415,t_a_219
usa,jpn,2018,10,Paper Goods,1184126408,t_a_220
usa,jpn,2018,11,Textiles,480366663,t_a_221
usa,jpn,2018,12,Footwear and Headwear,60128861,t_a_222
usa,jpn,2018,13,Stone And Glass,662126599,t_a_223
usa,jpn,2018,14,Precious Metals,1406454237,t_a_224
usa,jpn,2018,15,Metals,1948622113,t_a_225
usa,jpn,2018,16,Machines,12889042971,t_a_226
usa,jpn,2018,17,Transportation,5419943163,t_a_227
usa,jpn,2018,18,Instruments,10005268477,t_a_228
usa,jpn,2018,19,Weapons,286361976,t_a_229
usa,jpn,2018,20,Miscellaneous,529260705,t_a_230
usa,jpn,2018,21,Arts and Antiques,262481589,t_a_231
usa,jpn,2019,1,Animal Products,4391934536,t_a_232
usa,jpn,2019,2,Vegetable Products,6104307382,t_a_233
usa,jpn,2019,3,Animal and Vegetable Bi-Products,75381058,t_a_234
usa,jpn,2019,4,Foodstuffs,2401590251,t_a_235
usa,jpn,2019,5,Mineral Products,10795351931,t_a_236
usa,jpn,2019,6,Chemical Products,10839666740,t_a_237
usa,jpn,2019,7,Plastics and Rubbers,2141089893,t_a_238
usa,jpn,2019,8,Animal Hides,105818711,t_a_239
usa,jpn,2019,9,Wood Products,703846682,t_a_240
usa,jpn,2019,10,Paper Goods,1099971803,t_a_241
usa,jpn,2019,11,Textiles,483096951,t_a_242
usa,jpn,2019,12,Footwear and Headwear,53203205,t_a_243
usa,jpn,2019,13,Stone And Glass,739907477,t_a_244
usa,jpn,2019,14,Precious Metals,1277592866,t_a_245
usa,jpn,2019,15,Metals,1937091660,t_a_246
usa,jpn,2019,16,Machines,12537867064,t_a_247
usa,jpn,2019,17,Transportation,4366601137,t_a_248
usa,jpn,2019,18,Instruments,8514049311,t_a_249
usa,jpn,2019,19,Weapons,110251350,t_a_250
