From,To,Year,Section ID,Section,HS2 ID,HS2,Trade Value,,,From,To,Year,Section ID,Section,
usa,gbr,2020,9,Wood Products,944,Wood and articles of wood; wood charcoal,1102504870,,,usa,jpn,2010,2,Vegetable Products,7507386149
usa,gbr,2020,9,Wood Products,945,Cork and articles of cork,336758,,,usa,jpn,2010,3,Animal and Vegetable Bi-Products,77656934
usa,gbr,2020,9,Wood Products,946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",192199,,,usa,jpn,2010,4,Foodstuffs,2515583351
usa,gbr,2020,10,Paper Goods,1047,Pulp of wood or other fibrous cellulosic material,18040540,,,usa,jpn,2010,5,Mineral Products,2590776437
usa,gbr,2020,10,Paper Goods,1048,Paper Articles,261652308,,,usa,jpn,2010,6,Chemical Products,11110031073
usa,gbr,2020,10,Paper Goods,1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",532090170,,,usa,jpn,2010,7,Plastics and Rubbers,2277494459
usa,gbr,2020,11,Textiles,1150,Silk,181521,,,usa,jpn,2010,8,Animal Hides,208887566
usa,gbr,2020,11,Textiles,1151,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1709112,,,usa,jpn,2010,9,Wood Products,677332397
usa,gbr,2020,11,Textiles,1152,Cotton,3094094,,,usa,jpn,2010,10,Paper Goods,1370381540
usa,gbr,2020,11,Textiles,1153,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,595085,,,usa,jpn,2010,11,Textiles,528906468
usa,gbr,2020,11,Textiles,1154,Man-made filaments,31811323,,,usa,jpn,2010,12,Footwear and Headwear,77234800
usa,gbr,2020,11,Textiles,1155,Man-made staple fibres,14438128,,,usa,jpn,2010,13,Stone And Glass,496836951
usa,gbr,2020,11,Textiles,1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",57906779,,,usa,jpn,2010,14,Precious Metals,1264919617
usa,gbr,2020,11,Textiles,1157,Carpets and other textile floor coverings,12981104,,,usa,jpn,2010,15,Metals,1460370138
usa,gbr,2020,11,Textiles,1158,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",5340286,,,usa,jpn,2010,16,Machines,12145916600
usa,gbr,2020,11,Textiles,1159,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",52710237,,,usa,jpn,2010,17,Transportation,4415421167
usa,gbr,2020,11,Textiles,1160,Fabrics; knitted or crocheted,4013694,,,usa,jpn,2010,18,Instruments,7270219331
usa,gbr,2020,11,Textiles,1161,Apparel and clothing accessories; knitted or crocheted,91151901,,,usa,jpn,2010,19,Weapons,420490089
usa,gbr,2020,11,Textiles,1162,Apparel and clothing accessories; not knitted or crocheted,89893327,,,usa,jpn,2010,20,Miscellaneous,519108259
usa,gbr,2020,11,Textiles,1163,Textiles rags,41285616,,,usa,jpn,2010,21,Arts and Antiques,92974278
usa,gbr,2020,12,Footwear and Headwear,1264,Footwear,16979608,,,usa,jpn,2011,1,Animal Products,4281401154
usa,gbr,2020,12,Footwear and Headwear,1265,Headgear and parts thereof,10212910,,,usa,jpn,2011,2,Vegetable Products,9086710722
usa,gbr,2020,12,Footwear and Headwear,1266,Umbrellas,416145,,,usa,jpn,2011,3,Animal and Vegetable Bi-Products,85187513
usa,gbr,2020,12,Footwear and Headwear,1267,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",4779224,,,usa,jpn,2011,4,Foodstuffs,2731636838
usa,gbr,2020,13,Stone And Glass,1368,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",111334332,,,usa,jpn,2011,5,Mineral Products,3422133909
usa,gbr,2020,13,Stone And Glass,1369,Ceramic products,40421938,,,usa,jpn,2011,6,Chemical Products,11700421144
usa,gbr,2020,13,Stone And Glass,1370,Glass and glassware,137621285,,,usa,jpn,2011,7,Plastics and Rubbers,2396877704
